Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#E025;25;-2406.198494720919;-3769.6635954089816;11.065383588076177;WBS;7.28;2019-07-04 19:15:09.210000;WMF;7.59;2019-07-04 19:15:09.780000;
#E026;26;-1234.1495374307085;-6038.210067945809;7.51384738055199;WBS;6.86;2019-07-04 19:21:01.310000;WMF;7.55;2019-07-04 19:21:02.260000;
#E027;27;-2609.4895826546885;-4369.588897838593;10.895449480261552;WBS;7.21;2019-07-04 19:24:56.240000;WMF;7.63;2019-07-04 19:24:56.860000;
#E028;28;-3105.7902073991836;2740.1866101453115;6.919512400257203;WBS;7.41;2019-07-04 19:27:08.640000;WMF;6.61;2019-07-04 19:27:07.720000;
#E029;29;-1933.6218121421073;-1990.786087166731;12.373436849659596;WBS;7.56;2019-07-04 19:27:28.660000;WMF;7.54;2019-07-04 19:27:28.590000;
#E030;30;-3300.844268913658;-2421.9171940994124;7.5776929895636105;WBS;7.05;2019-07-04 19:33:30.910000;WMF;7.14;2019-07-04 19:33:30.990000;
#E031;31;-5183.011569478151;-9941.194392983409;6.392665731952666;WBS;6.26;2019-07-04 19:34:16.030000;WMF;7.7;2019-07-04 19:34:18.070000;
#E032;32;-2816.350955259449;-4799.494196940657;11.067999452514849;WBS;7.18;2019-07-04 19:40:39.150000;WMF;7.68;2019-07-04 19:40:39.570000;
#E033;33;-2499.4010170780966;-8752.29642892513;4.43614496571585;WBS;6.3;2019-07-04 19:47:58.660000;WMF;7.5;2019-07-04 19:48:00.670000;
#E034;34;-2836.7816125663717;-7590.424755853184;2.443650965715189;WBS;6.21;2019-07-04 19:48:50.830000;WMF;7.21;2019-07-04 19:48:52.280000;
#E035;35;2268.0721492531584;-1141.6385430285638;13.514590765213828;WBS;7.9;2019-07-04 19:49:15.710000;WMF;7.65;2019-07-04 19:49:15.280000;
#E036;36;-3661.89383562228;-12460.194441247677;8.258434288079682;WBS;6.3;2019-07-04 19:52:21.710000;WMF;8.12;2019-07-04 19:52:23.400000;
