phase;date_clock;tsec;t0_loc;xloc;yloc;zloc;eigval_max;eigval_mid;eigval_min;eigvec_max_e;eigvec_max_n;eigvec_max_u;eigvec_mid_e;eigvec_mid_n;eigvec_mid_u;mom;fc_p;fc_s;rad;sd;mw;energy;src_nrcv;src_misfit;mom_sdev;fc_sdev;snr_loc;orthogonality;distance_rcv;noise_level_acc
1;23:04:19:14:18:08;224288.0;0.2079;335372.3;4263061.3;604.2;72.29;35.39;10.62;0.91613;-0.19559;-0.34994;0.20097;0.97937;-0.02127;4.2422e+06;170.6;127.4;5.68;10133.439;-1.582;7.9846e-01;11;0.3145;1.5053e+06;21.6;3.3;0.811;1542.5;2.2801e-06
1;23:04:19:15:55:17;230117.0;0.9924;335434.5;4263154.7;583.8;81.62;19.21;10.48;0.86509;-0.44510;-0.23130;0.45486;0.89048;-0.01235;2.1397e+06;142.6;124.7;6.16;3999.103;-1.780;1.6889e-01;8;0.2664;6.3289e+06;8.9;2.2;0.592;1514.4;2.4235e-06
1;23:04:19:15:59:57;230397.0;0.1938;335337.0;4263017.8;554.5;75.81;22.90;9.95;0.91484;-0.04792;-0.40097;0.05326;0.99858;0.00218;7.4159e+06;61.9;125.2;11.14;2344.747;-1.420;3.1652e-01;10;0.2847;1.2357e+07;31.6;3.5;0.735;1503.4;2.3426e-06
1;23:04:19:16:00:38;230438.0;0.4185;335306.8;4263092.0;555.2;68.74;20.65;9.51;0.77511;-0.49595;-0.39145;0.47526;0.86591;-0.15601;3.2115e+06;148.9;108.8;6.61;4860.920;-1.662;2.8665e-01;11;0.2519;1.8813e+06;20.0;4.1;0.819;1516.3;2.9448e-06
1;23:04:19:16:01:00;230460.0;0.6365;335434.8;4262975.9;250.2;85.85;22.10;11.48;0.89266;0.09436;-0.44074;-0.08495;0.99554;0.04107;5.4364e+06;91.0;113.4;8.85;3436.575;-1.510;3.3430e-01;11;0.2898;4.9694e+06;11.2;3.5;0.873;1183.8;3.8400e-06
1;23:04:19:16:01:03;230463.0;0.9010;335469.2;4263033.3;587.1;98.41;33.79;12.12;0.95972;-0.17697;-0.21821;0.17868;0.98383;-0.01203;4.5405e+06;129.9;102.1;7.09;5571.182;-1.562;4.9929e-01;10;0.2820;1.8503e+06;13.9;4.8;0.858;1502.0;2.7687e-06
1;23:04:19:16:01:26;230486.0;0.2402;335401.3;4263063.2;570.9;67.28;36.90;9.42;0.91481;-0.21889;-0.33942;0.22412;0.97426;-0.02426;1.3082e+07;47.4;115.5;13.80;2177.687;-1.256;5.2916e-01;10;0.3170;2.2969e+07;34.1;4.6;0.701;1502.9;2.8613e-06
1;23:04:19:16:02:00;230520.0;0.3693;335312.2;4263029.1;536.2;91.37;62.73;11.96;0.90764;-0.07096;-0.41372;0.07736;0.99700;-0.00128;3.7037e+06;150.1;105.9;6.67;5454.651;-1.621;3.7096e-01;11;0.3062;1.3134e+06;22.1;5.4;0.914;1493.8;2.4466e-06
1;23:04:19:16:03:06;230586.0;0.0986;335345.6;4263059.9;571.6;63.46;34.52;9.56;0.90685;-0.14472;-0.39583;0.15381;0.98806;-0.00888;7.4663e+06;186.6;94.4;6.41;12419.720;-1.418;1.6879e+00;11;0.3166;3.5655e+06;46.1;8.9;0.822;1518.6;2.3402e-06
1;23:04:19:16:03:07;230587.0;0.3360;335366.2;4263054.5;566.9;67.43;43.12;10.10;0.91227;-0.14103;-0.38454;0.14931;0.98875;-0.00841;4.9368e+06;110.5;111.8;7.77;4609.879;-1.538;4.1426e-01;11;0.2933;5.1610e+06;0.6;5.0;0.686;1508.0;3.1399e-06
1;23:04:19:16:03:19;230599.0;0.3069;335378.7;4263076.9;542.0;100.24;20.17;14.35;0.89196;-0.23993;-0.38320;0.24052;0.96950;-0.04718;4.1427e+06;136.3;111.6;6.88;5563.865;-1.588;4.1957e-01;11;0.3213;1.5809e+06;12.3;5.1;0.912;1481.7;2.6821e-06
1;23:04:19:16:03:52;230632.0;0.5903;335301.6;4263061.3;510.3;85.89;75.87;10.47;0.89723;-0.11538;-0.42623;0.12767;0.99182;0.00027;6.4925e+06;101.2;102.8;8.44;4724.839;-1.458;5.6327e-01;11;0.2970;2.0720e+06;0.8;3.8;0.725;1473.8;2.6002e-06
1;23:04:19:16:03:55;230635.0;0.3952;335230.4;4263193.2;445.4;75.61;22.48;9.99;0.79981;-0.29701;-0.52162;0.33097;0.94318;-0.02956;8.4699e+06;135.6;110.0;6.98;10874.680;-1.381;1.6808e+00;11;0.3227;2.2378e+06;12.8;5.7;0.647;1450.6;2.7567e-06
1;23:04:19:16:03:56;230636.0;0.5273;335315.3;4263073.2;515.2;62.58;17.55;10.79;0.88888;-0.18457;-0.41931;0.19136;0.98117;-0.02622;2.3592e+07;170.0;99.0;6.49;37729.844;-1.085;1.6345e+01;11;0.3745;1.3614e+07;35.5;7.6;0.851;1474.6;4.5934e-06
1;23:04:19:16:04:25;230665.0;0.1945;335381.4;4263022.3;205.9;70.82;24.62;9.74;0.88623;-0.06486;-0.45867;0.07268;0.99736;-0.00062;1.6386e+06;118.6;145.1;6.77;2314.489;-1.857;6.9064e-02;7;0.2448;3.5838e+06;13.2;2.1;0.701;1159.0;2.9692e-06
