ORIGIN;38.500699385051298;-112.8876781791916;2.095;
#001;2019/04/27T17:19:29.781669;0;0;0;
DAS591;17:19:29.781669;17:19:30.066786;
DAS592;17:19:29.781311;17:19:30.066687;
DAS593;17:19:29.780952;17:19:30.066587;
DAS594;17:19:29.780594;17:19:30.070988;
DAS595;17:19:29.779736;17:19:30.066388;
DAS596;17:19:29.778877;17:19:30.069289;
DAS597;17:19:29.778519;17:19:30.062689;
DAS598;17:19:29.778161;17:19:30.062090;
DAS599;17:19:29.777803;17:19:30.061490;
DAS600;17:19:29.777444;17:19:30.061391;
DAS601;17:19:29.777119;17:19:30.060791;
DAS602;17:19:29.776800;17:19:30.059692;
DAS603;17:19:29.776481;17:19:30.059092;
DAS604;17:19:29.776162;17:19:30.058493;
DAS605;17:19:29.775842;17:19:30.057893;
DAS606;17:19:29.775523;17:19:30.057794;
DAS607;17:19:29.775204;17:19:30.058194;
DAS608;17:19:29.774885;17:19:30.057595;
DAS609;17:19:29.774566;17:19:30.057495;
DAS610;17:19:29.774247;17:19:30.057396;
DAS611;17:19:29.773928;17:19:30.057296;
DAS612;17:19:29.774108;17:19:30.060697;
DAS613;17:19:29.779289;17:19:30.060597;
DAS614;17:19:29.773470;17:19:30.059998;
DAS615;17:19:29.773651;17:19:30.052398;
DAS616;17:19:29.773332;17:19:30.052299;
DAS617;17:19:29.773513;17:19:30.052199;
DAS618;17:19:29.773194;17:19:30.054099;
DAS619;17:19:29.771874;17:19:30.049500;
DAS620;17:19:29.771555;17:19:30.048900;
DAS621;17:19:29.778236;17:19:30.048301;
DAS622;17:19:29.770417;17:19:30.047701;
DAS623;17:19:29.773598;17:19:30.047602;
DAS624;17:19:29.769779;17:19:30.047502;
DAS625;17:19:29.769460;17:19:30.051403;
DAS626;17:19:29.779140;17:19:30.051303;
DAS627;17:19:29.774321;17:19:30.052208;
DAS628;17:19:29.774002;17:19:30.052118;
DAS629;17:19:29.768683;17:19:30.051529;
DAS630;17:19:29.768364;17:19:30.047440;
DAS631;17:19:29.767545;17:19:30.046851;
DAS632;17:19:29.767726;17:19:30.046762;
DAS633;17:19:29.767407;17:19:30.046672;
DAS634;17:19:29.768087;17:19:30.046583;
DAS635;17:19:29.767268;17:19:30.045994;
DAS636;17:19:29.767449;17:19:30.045905;
DAS637;17:19:29.767630;17:19:30.045816;
DAS638;17:19:29.766811;17:19:30.038227;
DAS639;17:19:29.767492;17:19:30.038137;
DAS640;17:19:29.767673;17:19:30.037548;
DAS641;17:19:29.764353;17:19:30.037459;
DAS642;17:19:29.764034;17:19:30.037370;
DAS643;17:19:29.763715;17:19:30.037281;
DAS644;17:19:29.763396;17:19:30.037191;
DAS645;17:19:29.763077;17:19:30.037102;
DAS646;17:19:29.762758;17:19:30.037013;
DAS647;17:19:29.762439;17:19:30.035424;
DAS648;17:19:29.765119;17:19:30.034835;
DAS649;17:19:29.764300;17:19:30.034746;
DAS650;17:19:29.762481;17:19:30.034156;
DAS651;17:19:29.766662;17:19:30.032567;
DAS652;17:19:29.765843;17:19:30.031478;
DAS653;17:19:29.766524;17:19:30.030889;
DAS654;17:19:29.766205;17:19:30.030300;
DAS655;17:19:29.765885;17:19:30.030210;
DAS656;17:19:29.766066;17:19:30.029621;
DAS657;17:19:29.768247;17:19:30.029532;
DAS658;17:19:29.765928;17:19:30.029443;
DAS659;17:19:29.761609;17:19:30.029854;
DAS660;17:19:29.763790;17:19:30.031765;
DAS661;17:19:29.760971;17:19:30.024675;
DAS662;17:19:29.757652;17:19:30.024086;
DAS663;17:19:29.757332;17:19:30.023497;
DAS664;17:19:29.757013;17:19:30.022908;
DAS665;17:19:29.756694;17:19:30.022319;
DAS666;17:19:29.756375;17:19:30.021729;
DAS667;17:19:29.756056;17:19:30.021140;
DAS668;17:19:29.764737;17:19:30.024051;
DAS669;17:19:29.764418;17:19:30.023462;
DAS670;17:19:29.764098;17:19:30.023373;
DAS671;17:19:29.763779;17:19:30.023284;
DAS672;17:19:29.755460;17:19:30.019194;
DAS673;17:19:29.755141;17:19:30.019105;
DAS674;17:19:29.754822;17:19:30.018516;
DAS675;17:19:29.759503;17:19:30.017927;
DAS676;17:19:29.753684;17:19:30.017338;
DAS677;17:19:29.752864;17:19:30.016748;
DAS678;17:19:29.759045;17:19:30.016159;
DAS679;17:19:29.755226;17:19:30.021070;
DAS680;17:19:29.756907;17:19:30.020481;
DAS681;17:19:29.756588;17:19:30.020392;
DAS682;17:19:29.751269;17:19:30.013803;
DAS683;17:19:29.750950;17:19:30.013713;
